dataset;classifiers;score;time;balanced
bupa;Bagging;0.72;31.06;True
bupa;RandomForest;0.71;3.19;True
bupa;AdaBoost;0.67;1.89;True
bupa;GradientBoosting;0.72;5.12;True
bupa;TreeSVM;0.61;0.02;True
bupa;TreeTree;0.55;0.02;True
heart;Bagging;0.78;30.97;True
heart;RandomForest;0.79;3.27;True
heart;AdaBoost;0.79;1.89;True
heart;GradientBoosting;0.74;5.03;True
heart;TreeSVM;0.75;0.02;True
heart;TreeTree;0.74;0.02;True
sonar;Bagging;0.71;56.01;True
sonar;RandomForest;0.79;3.67;True
sonar;AdaBoost;0.78;3.48;True
sonar;GradientBoosting;0.83;18.23;True
sonar;TreeSVM;0.76;0.05;True
sonar;TreeTree;0.79;0.05;True
german;Bagging;0.75;50.0;True
german;RandomForest;0.75;3.25;True
german;AdaBoost;0.74;2.0;True
german;GradientBoosting;0.76;7.45;True
german;TreeSVM;0.7;0.04;True
german;TreeTree;0.7;0.03;True
australian;Bagging;0.86;37.09;True
australian;RandomForest;0.87;3.39;True
australian;AdaBoost;0.87;2.68;True
australian;GradientBoosting;0.86;8.56;True
australian;TreeSVM;0.81;0.03;True
australian;TreeTree;0.81;0.03;True
