dataset;classifier;score;time;balanced
abalone8;$LogisticRegression \pm LogisticRegression$;$0.86 \pm 0.86$;$0.3 \pm 4.5$;True
abalone17;$LogisticRegression \pm LogisticRegression$;$0.98 \pm 0.98$;$0.26 \pm 2.52$;False
abalone20;$LogisticRegression \pm LogisticRegression$;$0.99 \pm 0.99$;$0.22 \pm 2.29$;False
autompg;$SVM \pm LogisticRegression$;$0.73 \pm 0.86$;$0.06 \pm 0.41$;True
australian;$SVM \pm LogisticRegression$;$0.63 \pm 0.84$;$0.09 \pm 0.71$;True
balance;$DecisionTree \pm SVM$;$0.88 \pm 0.97$;$0.05 \pm 0.38$;True
bankmarketing;$SVM \pm LogisticRegression$;$0.88 \pm 0.91$;$0.51 \pm 17.58$;True
bupa;$DecisionTree \pm SVM$;$0.56 \pm 0.72$;$0.06 \pm 0.3$;True
german;$DecisionTree \pm LogisticRegression$;$0.69 \pm 0.76$;$0.09 \pm 1.3$;True
glass;$SVM \pm LogisticRegression$;$0.77 \pm 0.83$;$0.06 \pm 0.31$;True
hayes;$LogisticRegression \pm SVM$;$0.88 \pm 1.0$;$0.04 \pm 0.19$;True
heart;$SVM \pm LogisticRegression$;$0.73 \pm 0.85$;$0.06 \pm 0.36$;True
iono;$DecisionTree \pm SVM$;$0.88 \pm 0.96$;$0.13 \pm 0.66$;True
libras;$LogisticRegression \pm SVM$;$0.96 \pm 0.99$;$0.11 \pm 1.36$;False
newthyroid;$SVM \pm LogisticRegression$;$0.88 \pm 0.91$;$0.05 \pm 0.24$;True
pageblocks;$SVM \pm DecisionTree$;$0.91 \pm 0.97$;$0.48 \pm 4.56$;True
pima;$SVM \pm DecisionTree$;$0.74 \pm 0.76$;$0.1 \pm 0.59$;True
satimage;$LogisticRegression \pm SVM$;$0.91 \pm 0.94$;$0.78 \pm 43.12$;False
segmentation;$LogisticRegression \pm DecisionTree$;$0.91 \pm 0.96$;$0.43 \pm 4.07$;True
sonar;$DecisionTree \pm SVM$;$0.6 \pm 0.87$;$0.11 \pm 0.61$;True
spambase;$SVM \pm LogisticRegression$;$0.74 \pm 0.93$;$0.83 \pm 11.15$;True
splice;$LogisticRegression \pm DecisionTree$;$0.85 \pm 0.95$;$0.33 \pm 12.35$;True
vehicle;$DecisionTree \pm LogisticRegression$;$0.91 \pm 0.97$;$0.11 \pm 6.87$;True
wdbc;$DecisionTree \pm LogisticRegression$;$0.91 \pm 0.94$;$0.2 \pm 2.84$;True
wine;$SVM \pm LogisticRegression$;$0.91 \pm 1.0$;$0.06 \pm 0.29$;True
wine4;$LogisticRegression \pm LogisticRegression$;$0.96 \pm 0.96$;$0.14 \pm 1.16$;False
yeast3;$LogisticRegression \pm SVM$;$0.94 \pm 0.95$;$0.08 \pm 0.66$;True
yeast6;$LogisticRegression \pm LogisticRegression$;$0.98 \pm 0.98$;$0.07 \pm 0.73$;False
abalone17_tomeLink;$LogisticRegression \pm LogisticRegression$;$0.98 \pm 0.98$;$0.27 \pm 2.48$;False
abalone20_tomeLink;$LogisticRegression \pm LogisticRegression$;$0.99 \pm 0.99$;$0.26 \pm 2.9$;False
libras_tomeLink;$LogisticRegression \pm SVM$;$0.94 \pm 0.99$;$0.16 \pm 1.46$;False
satimage_tomeLink;$LogisticRegression \pm SVM$;$0.91 \pm 0.93$;$0.83 \pm 51.21$;False
wine4_tomeLink;$LogisticRegression \pm LogisticRegression$;$0.97 \pm 0.97$;$0.15 \pm 1.23$;False
yeast6_tomeLink;$LogisticRegression \pm SVM$;$0.97 \pm 0.98$;$0.07 \pm 0.74$;False
abalone17_cnn;$DecisionTree \pm LogisticRegression$;$0.78 \pm 0.79$;$0.07 \pm 0.25$;False
abalone20_cnn;$LogisticRegression \pm DecisionTree$;$0.87 \pm 0.89$;$0.06 \pm 0.21$;False
libras_cnn;$SVM \pm DecisionTree$;$0.38 \pm 0.85$;$0.08 \pm 0.28$;False
satimage_cnn;$LogisticRegression \pm SVM$;$0.63 \pm 0.75$;$0.29 \pm 14.13$;False
wine4_cnn;$LogisticRegression \pm LogisticRegression$;$0.84 \pm 0.84$;$0.08 \pm 0.36$;False
yeast6_cnn;$LogisticRegression \pm SVM$;$0.8 \pm 0.83$;$0.06 \pm 0.2$;False
abalone17_borderSMOTE;$LogisticRegression \pm DecisionTree$;$0.85 \pm 0.92$;$0.91 \pm 26.63$;False
abalone20_borderSMOTE;$LogisticRegression \pm DecisionTree$;$0.94 \pm 0.97$;$1.13 \pm 19.79$;False
libras_borderSMOTE;$LogisticRegression \pm SVM$;$0.98 \pm 1.0$;$0.41 \pm 3.36$;False
satimage_borderSMOTE;$LogisticRegression \pm SVM$;$0.74 \pm 0.93$;$4.52 \pm 183.68$;False
wine4_borderSMOTE;$SVM \pm DecisionTree$;$0.89 \pm 0.92$;$0.52 \pm 3.9$;False
yeast6_borderSMOTE;$LogisticRegression \pm SVM$;$0.95 \pm 0.98$;$0.24 \pm 3.07$;False
abalone17_adaSyn;$LogisticRegression \pm SVM$;$0.84 \pm 0.9$;$0.99 \pm 26.18$;False
abalone20_adaSyn;$LogisticRegression \pm SVM$;$0.91 \pm 0.95$;$0.96 \pm 24.19$;False
libras_adaSyn;$LogisticRegression \pm SVM$;$0.99 \pm 1.0$;$0.4 \pm 2.96$;False
satimage_adaSyn;$LogisticRegression \pm SVM$;$0.73 \pm 0.93$;$4.27 \pm 148.34$;False
wine4_adaSyn;$LogisticRegression \pm DecisionTree$;$0.73 \pm 0.83$;$0.51 \pm 5.91$;False
yeast6_adaSyn;$LogisticRegression \pm SVM$;$0.86 \pm 0.94$;$0.25 \pm 3.44$;False
