dataset;classifiers;score;time;balanced
bupa;Bagging;0.7;0.04;True
bupa;RandomForest;0.73;0.19;True
bupa;AdaBoost;0.7;0.09;True
bupa;GradientBoosting;0.73;0.12;True
bupa;TreeSVM;0.61;0.02;True
bupa;TreeTree;0.62;0.02;True
bupa;SvmSvm;0.69;0.63;True
heart;Bagging;0.78;0.03;True
heart;RandomForest;0.84;0.16;True
heart;AdaBoost;0.81;0.1;True
heart;GradientBoosting;0.81;0.12;True
heart;TreeSVM;0.72;0.02;True
heart;TreeTree;0.72;0.02;True
heart;SvmSvm;0.86;1.06;True
sonar;Bagging;0.73;0.08;True
sonar;RandomForest;0.81;0.22;True
sonar;AdaBoost;0.84;0.19;True
sonar;GradientBoosting;0.86;0.69;True
sonar;TreeSVM;0.68;0.05;True
sonar;TreeTree;0.71;0.05;True
sonar;SvmSvm;0.81;0.02;True
german;Bagging;0.73;0.06;True
german;RandomForest;0.74;0.25;True
german;AdaBoost;0.73;0.12;True
german;GradientBoosting;0.73;0.18;True
german;TreeSVM;0.67;0.04;True
german;TreeTree;0.67;0.03;True
german;SvmSvm;0.75;2.37;True
australian;Bagging;0.86;0.05;True
australian;RandomForest;0.86;0.23;True
australian;AdaBoost;0.81;0.13;True
australian;GradientBoosting;0.84;0.23;True
australian;TreeSVM;0.83;0.03;True
australian;TreeTree;0.81;0.03;True
australian;SvmSvm;NA;NA;True
