;dataset;classifiers;score;time;cross_val_score;balanced
0;abalone8;LogisticRegression_l1;0.8779904306220095;0.11340069770812988;0.8602217090482711;balanced
1;abalone8;SVM;0.881578947368421;0.2654860019683838;0.8596229066530615;balanced
2;abalone8;DecisionTree;0.7966507177033493;0.04021906852722168;0.7803017283818015;balanced
3;abalone17;LogisticRegression_l1;0.9904306220095693;0.04331707954406738;0.98473501427638;imbalanced
4;abalone17;SVM;0.9904306220095693;0.05969953536987305;0.9850344154739847;imbalanced
5;abalone17;DecisionTree;0.9677033492822966;0.026961088180541992;0.971264645596699;imbalanced
6;abalone20;LogisticRegression_l1;0.9952153110047847;0.0;0.9934154113298067;imbalanced
7;abalone20;SVM;0.9952153110047847;0.02889227867126465;0.9934154113298067;imbalanced
8;abalone20;DecisionTree;0.9868421052631579;0.006609678268432617;0.9850330728677175;imbalanced
9;autompg;LogisticRegression_l1;0.8607594936708861;0.008131265640258789;0.8657962109575014;balanced
10;autompg;SVM;0.8354430379746836;0.0009818077087402344;0.7887864823348695;balanced
11;autompg;DecisionTree;0.7848101265822784;0.0;0.9040962621607782;balanced
12;australian;LogisticRegression_l1;0.8623188405797102;0.0;0.8514332514332514;balanced
13;australian;SVM;0.6956521739130435;0.01691436767578125;0.6448648648648648;balanced
14;australian;DecisionTree;0.782608695652174;0.0;0.8224570024570024;balanced
15;balance;LogisticRegression_l1;0.96;0.0008389949798583984;0.9479999999999998;balanced
16;balance;SVM;0.976;0.002843141555786133;0.958;balanced
17;balance;DecisionTree;0.84;0.0;0.8640000000000001;balanced
18;bankmarketing;LogisticRegression_l1;0.8989273471193188;1.2651607990264893;0.902178805929769;balanced
19;bankmarketing;SVM;0.8794647793873714;32.03972268104553;0.8841517396325118;balanced
20;bankmarketing;DecisionTree;0.8744885546831803;0.3952951431274414;0.8739218242992128;balanced
21;bupa;LogisticRegression_l1;0.7536231884057971;0.0019664764404296875;0.6451298701298702;balanced
22;bupa;SVM;0.782608695652174;0.004034519195556641;0.6522077922077922;balanced
23;bupa;DecisionTree;0.6086956521739131;0.003000020980834961;0.605064935064935;balanced
24;german;LogisticRegression_l1;0.765;0.017139911651611328;0.7575;balanced
25;german;SVM;0.72;0.02571272850036621;0.7;balanced
26;german;DecisionTree;0.685;0.005154132843017578;0.6975;balanced
27;glass;LogisticRegression_l1;0.8372093023255814;0.026437759399414062;0.6783193277310924;balanced
28;glass;SVM;0.7441860465116279;0.0009996891021728516;0.6549579831932772;balanced
29;glass;DecisionTree;0.8837209302325582;0.001999378204345703;0.7608403361344538;balanced
30;hayes;LogisticRegression_l1;0.9259259259259259;0.0009999275207519531;0.9142857142857143;balanced
31;hayes;SVM;1.0;0.0009975433349609375;1.0;balanced
32;hayes;DecisionTree;1.0;0.0009968280792236328;1.0;balanced
33;heart;LogisticRegression_l1;0.9074074074074074;0.003000020980834961;0.8427061310782241;balanced
34;heart;SVM;0.6296296296296297;0.003002166748046875;0.6158562367864693;balanced
