;dataset;classifiers;score;time;cross_val_score;balanced
0;australian;Bagging;0.8840579710144928;0.06306958198547363;0.8604422604422604;balanced
1;australian;RandomForest;0.8768115942028986;0.2817375659942627;0.8714004914004914;balanced
2;australian;AdaBoost;0.8695652173913043;0.13652873039245605;0.8386895986895986;balanced
3;bupa;Bagging;0.7101449275362319;0.09107303619384766;0.6485714285714286;balanced
4;bupa;RandomForest;0.7391304347826086;0.21810436248779297;0.7066233766233767;balanced
5;bupa;AdaBoost;0.782608695652174;0.10084700584411621;0.6703896103896104;balanced
6;german;Bagging;0.765;0.07456254959106445;0.7350000000000001;balanced
7;german;RandomForest;0.8;0.33351969718933105;0.7725000000000001;balanced
8;german;AdaBoost;0.785;0.1405048370361328;0.73125;balanced
9;heart;Bagging;0.7407407407407407;0.03338813781738281;0.7316067653276954;balanced
10;heart;RandomForest;0.8703703703703703;0.19619989395141602;0.819767441860465;balanced
11;heart;AdaBoost;0.8888888888888888;0.10308837890625;0.7178646934460888;balanced
12;heart;Bagging;0.7407407407407407;0.03447556495666504;0.7316067653276954;balanced
13;heart;RandomForest;0.8703703703703703;0.19578957557678223;0.819767441860465;balanced
14;heart;AdaBoost;0.8888888888888888;0.1164546012878418;0.7178646934460888;balanced
15;sonar;Bagging;0.8095238095238095;0.11245036125183105;0.770944741532977;balanced
16;sonar;RandomForest;0.9047619047619048;0.30364131927490234;0.8253119429590019;balanced
17;sonar;AdaBoost;0.7857142857142857;0.2547173500061035;0.7593582887700535;balanced
